"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","FOREST","State Treasurer","StateWide","Republican","","1,224","0","0","","","","","","","","",""
"2012 General Election","FOREST","State Treasurer","StateWide","Democratic","","855","0","0","","","","","","","","",""
"2012 General Election","FOREST","State Treasurer","StateWide","Libertarian","","150","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","Auditor General","StateWide","Republican","","41,509","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","Auditor General","StateWide","Democratic","","16,342","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","Auditor General","StateWide","Libertarian","","3,553","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","State Treasurer","StateWide","Republican","","40,094","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","State Treasurer","StateWide","Democratic","","18,285","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","State Treasurer","StateWide","Libertarian","","2,876","0","0","","","","","","","","",""
"2012 General Election","FULTON","Auditor General","StateWide","Republican","","4,357","0","0","","","","","","","","",""
"2012 General Election","FULTON","Auditor General","StateWide","Democratic","","1,227","0","0","","","","","","","","",""
"2012 General Election","FULTON","Auditor General","StateWide","Libertarian","","344","0","0","","","","","","","","",""
"2012 General Election","FULTON","State Treasurer","StateWide","Republican","","4,207","0","0","","","","","","","","",""
"2012 General Election","FULTON","State Treasurer","StateWide","Democratic","","1,466","0","0","","","","","","","","",""
"2012 General Election","FULTON","State Treasurer","StateWide","Libertarian","","270","0","0","","","","","","","","",""
"2012 General Election","GREENE","Auditor General","StateWide","Republican","","6,778","0","0","","","","","","","","",""
"2012 General Election","GREENE","Auditor General","StateWide","Democratic","","6,325","0","0","","","","","","","","",""
"2012 General Election","GREENE","Auditor General","StateWide","Libertarian","","702","0","0","","","","","","","","",""
"2012 General Election","GREENE","State Treasurer","StateWide","Republican","","6,384","0","0","","","","","","","","",""
"2012 General Election","GREENE","State Treasurer","StateWide","Democratic","","6,867","0","0","","","","","","","","",""
"2012 General Election","GREENE","State Treasurer","StateWide","Libertarian","","588","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","Auditor General","StateWide","Republican","","11,217","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","Auditor General","StateWide","Democratic","","4,840","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","Auditor General","StateWide","Libertarian","","1,072","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","State Treasurer","StateWide","Republican","","10,796","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","State Treasurer","StateWide","Democratic","","5,524","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","State Treasurer","StateWide","Libertarian","","813","0","0","","","","","","","","",""
"2012 General Election","INDIANA","Auditor General","StateWide","Republican","","19,118","0","0","","","","","","","","",""
"2012 General Election","INDIANA","Auditor General","StateWide","Democratic","","14,112","0","0","","","","","","","","",""
"2012 General Election","INDIANA","Auditor General","StateWide","Libertarian","","2,187","0","0","","","","","","","","",""
"2012 General Election","INDIANA","State Treasurer","StateWide","Republican","","18,215","0","0","","","","","","","","",""
"2012 General Election","INDIANA","State Treasurer","StateWide","Democratic","","15,007","0","0","","","","","","","","",""
"2012 General Election","INDIANA","State Treasurer","StateWide","Libertarian","","2,028","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","Auditor General","StateWide","Republican","","11,769","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","Auditor General","StateWide","Democratic","","4,923","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","Auditor General","StateWide","Libertarian","","1,073","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","State Treasurer","StateWide","Republican","","11,366","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","State Treasurer","StateWide","Democratic","","5,512","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","State Treasurer","StateWide","Libertarian","","859","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","Auditor General","StateWide","Republican","","6,324","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","Auditor General","StateWide","Democratic","","2,407","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","Auditor General","StateWide","Libertarian","","552","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","State Treasurer","StateWide","Republican","","5,885","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","State Treasurer","StateWide","Democratic","","2,897","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","State Treasurer","StateWide","Libertarian","","489","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","Auditor General","StateWide","Republican","","31,170","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","Auditor General","StateWide","Democratic","","56,853","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","Auditor General","StateWide","Libertarian","","4,903","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","State Treasurer","StateWide","Republican","","27,503","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","State Treasurer","StateWide","Democratic","","60,138","0","0","","","","","","","","",""
